Words,Frequency
the,2844
art,36
of,1581
war,108
by,321
sun,209
tzu,147
translated,4
with,276
introduction,27
and,1102
notes,12
lionel,2
giles,15
ma,4
th,19
may,130
contents,5
wu,104
his,406
book,9
text,31
commentators,30
appreciations,2
apologies,2
for,220
laying,8
plans,28
waging,6
attack,95
stratagem,16
tactical,13
dispositions,19
energy,16
weak,26
points,27
strong,27
maneuvering,15
variation,8
in,861
tactics,24
army,168
on,344
march,31
terrain,11
nine,37
situations,28
fire,7
use,45
spies,63
this,240
etext,5
has,105
been,70
prepared,7
released,3
project,5
gutenberg,3
official,1
homesite,1
httpwwwpromonetpg,1
reeditingandconversiontol,1
atexformatindependently,1
from,174
andor,1
previous,5
editors,2
tomas,1
ukkonen,1
is,729
a,770
public,3
domain,1
work,52
disclaim,1
all,116
liability,2
to,1278
you,156
damages,3
costs,1
expenses,2
including,2
legal,1
fees,1
have,169
no,106
remedies,1
negligence,1
or,149
under,34
strict,3
breach,3
warrantyorcontractincludingbutnotlimitedtoindirectconsequential,1
punitive,2
incidental,1
even,27
if,189
give,21
notice,4
possibility,4
such,41
tomybrothercaptainvalentinegilesrginthehopethatawork,1
years,13
old,14
yet,29
contain,4
lessons,1
worth,7
consideration,3
soldier,15
today,3
translation,18
affectionately,1
dedicated,1
preface,10
gutenburg,1
when,151
began,11
tzus,29
was,226
virtually,1
unknown,2
europe,3
its,68
french,3
jesuitfatherlivinginchinajosephamiotacquiredacopyofitandtranslateditinto,1
it,336
not,303
good,30
because,27
according,18
dr,8
contains,5
great,58
deal,3
that,456
did,18
write,5
very,26
little,11
indeed,6
what,50
he,332
rst,54
into,93
english,5
published,8
tokyo,1
capt,3
e,1
f,3
calthrop,1
rfa,1
however,27
words,34
excessively,1
bad,3
goes,2
further,12
criticism,3
merely,10
question,9
downright,1
blun,1
ders,1
which,209
none,13
can,103
hope,2
be,489
wholly,5
exempt,1
omissions,2
were,80
frequent,4
hard,11
passages,5
willfully,2
distorted,1
slurred,1
over,28
offenses,1
are,259
less,22
pardonable,1
they,143
would,52
tolerated,1
any,56
edition,11
latin,3
greek,2
classic,4
similar,5
standard,6
honesty,2
ought,6
insisted,1
upon,23
translations,2
chinese,42
new,8
calthrops,2
london,1
an,182
im,4
provement,1
lled,6
up,75
numerous,6
mistakes,4
corrected,1
but,203
errors,1
created,1
process,1
justifying,1
wrote,7
undertaken,3
out,86
inated,1
estimate,7
my,33
own,57
powers,2
i,129
could,18
helpfeelingthatsuntzudeservedabetterfatethanhadbefallenhimandiknewthat,1
at,152
rate,4
hardly,16
fail,6
toimprove,1
predecessors,2
clearly,5
established,1
much,35
groundwork,1
later,14
translatorswhopublishedtheirowneditions,1
ofthelatereditionsoftheartofwar,1
examined,1
two,51
feature,1
edited,2
other,78
present,13
same,26
basic,1
information,13
ancient,7
found,19
ofthesefourgileseditionisthemostscholarlyandpresentsthereader,1
incredible,3
amount,6
concerning,1
more,74
than,52
as,249
stated,4
above,17
scholarly,1
leading,5
sinologue,1
time,54
assistant,1
department,1
orientalprintedbooksandmanuscriptsinthebritishmuseum,1
apparentlyhewanted,1
toproduceadenitiveeditionsuperiortoanythingelsethatexistedandperhapssome,1
